section	opener_3gram	total_occurrences	paper_count	top_papers
abstract	In the process	1	1	ZVIVPYR4
introduction	LARGE time-delay and	1	1	ZVIVPYR4
method	The DNNs-MPC combines	1	1	ZVIVPYR4
experiments	The efficacy of	1	1	ZVIVPYR4
conclusion	In this research	1	1	ZVIVPYR4
abstract	With the increasing	1	1	P46RA6G8
introduction	IN MODERN industrial	1	1	P46RA6G8
related_work	Causal relation modeling	1	1	P46RA6G8
method	To address the	1	1	P46RA6G8
experiments	We use two	1	1	P46RA6G8
abstract	Soft sensing technology	1	1	2YFQJ43K
introduction	THE process industry	1	1	2YFQJ43K
method	The AVs may	1	1	2YFQJ43K
experiments	This section assesses	1	1	2YFQJ43K
abstract	Predictive monitoring of	1	1	KUMVDDYB
introduction	ENSURING stable quality	1	1	KUMVDDYB
method	The proposed framework	1	1	KUMVDDYB
experiments	We evaluated the	1	1	KUMVDDYB
conclusion	This article has	1	1	KUMVDDYB
abstract	Multivariate time series	1	1	9BBQ2XLM
introduction	MULTIVARIATE time series	1	1	9BBQ2XLM
related_work	Recently, the integration	1	1	9BBQ2XLM
method	Following previous work	1	1	9BBQ2XLM
experiments	We evaluate the	1	1	9BBQ2XLM
conclusion	This article proposes	2	2	9BBQ2XLM,5HNMW4GE
abstract	In industrial soft-sensor	1	1	SR9LIYM9
introduction	IN INDUSTRIAL processes	1	1	SR9LIYM9
related_work	In this section	1	1	SR9LIYM9
method	This section presents	1	1	SR9LIYM9
experiments	Given the objective	1	1	SR9LIYM9
conclusion	In this article	3	3	P46RA6G8,2YFQJ43K,SR9LIYM9
abstract	Data-driven soft sensing	1	1	5HNMW4GE
introduction	IN COMPLEX industrial	1	1	5HNMW4GE
method	The proposed TAE	1	1	5HNMW4GE
experiments	In this section	1	1	5HNMW4GE
