正文汉字数: 城市固废焚烧过程烟气=64329  水泥烧成系统多指标预=51652  水泥熟料煅烧过程数据=57783  水泥粉磨过程关键指标=68638  锌冶炼浸出过程pH在=69152

词       现阈值                  实测计数(5篇)                     密度/万字    P90     建议阈值     现值等效
-----------------------------------------------------------------------------------------------
首先        4      [20, 28, 24, 40, 51]     [3.1 5.4 4.2 5.8 7.4]    6.8      8.8      0.7
其次        4          [15, 9, 5, 8, 1]     [2.3 1.7 0.9 1.2 0.1]    2.1      2.7      0.7
然后     None      [14, 22, 47, 16, 66]     [2.2 4.3 8.1 2.3 9.5]    9.0     11.7        -
最后     None      [15, 19, 28, 15, 35]     [2.3 3.7 4.8 2.2 5.1]    5.0      6.5        -
其一     None           [0, 1, 0, 0, 2]     [0.0 0.2 0.0 0.0 0.3]    0.3      2.0        -
然而        5       [35, 11, 21, 22, 9]     [5.4 2.1 3.6 3.2 1.3]    4.7      6.1      0.8
此外        4       [34, 20, 5, 19, 73]    [5.3 3.9 0.9 2.8 10.6]    8.4     11.0      0.7
因此        6      [56, 49, 40, 47, 29]     [8.7 9.5 6.9 6.8 4.2]    9.2     11.9      1.0
另外        3          [1, 1, 0, 14, 1]     [0.2 0.2 0.0 2.0 0.1]    1.3      2.0      0.5
进而        3       [11, 29, 16, 4, 76]    [1.7 5.6 2.8 0.6 11.0]    8.8     11.5      0.5
而且        4          [3, 9, 40, 3, 7]     [0.5 1.7 6.9 0.4 1.0]    4.9      6.3      0.7
显然        3           [1, 1, 0, 0, 0]     [0.2 0.2 0.0 0.0 0.0]    0.2      2.0      0.5
通常        4         [14, 6, 4, 8, 10]     [2.2 1.2 0.7 1.2 1.4]    1.9      2.4      0.7
一般        5         [28, 14, 3, 5, 7]     [4.4 2.7 0.5 0.7 1.0]    3.7      4.8      0.8
尤其        3           [1, 5, 4, 9, 1]     [0.2 1.0 0.7 1.3 0.1]    1.2      2.0      0.5
显著        5        [14, 3, 17, 70, 5]    [2.2 0.6 2.9 10.2 0.7]    7.3      9.5      0.8
全面        3          [4, 0, 7, 15, 1]     [0.6 0.0 1.2 2.2 0.1]    1.8      2.3      0.5
深入        3          [7, 2, 1, 13, 9]     [1.1 0.4 0.2 1.9 1.3]    1.7      2.2      0.5
大量        3       [16, 19, 12, 1, 24]     [2.5 3.7 2.1 0.1 3.5]    3.6      4.7      0.5
众多        3           [7, 3, 0, 0, 2]     [1.1 0.6 0.0 0.0 0.3]    0.9      2.0      0.5
重要        5      [56, 34, 17, 15, 38]     [8.7 6.6 2.9 2.2 5.5]    7.9     10.2      0.8
关键        5     [19, 36, 47, 80, 118]   [3.0 7.0 8.1 11.7 17.1]   14.9     19.4      0.8
核心        4          [0, 2, 4, 13, 6]     [0.0 0.4 0.7 1.9 0.9]    1.5      2.0      0.7
基本        4        [13, 5, 16, 4, 23]     [2.0 1.0 2.8 0.6 3.3]    3.1      4.0      0.7
主要        5      [78, 63, 23, 26, 58]   [12.1 12.2 4.0 3.8 8.4]   12.2     15.8      0.8
最为        3           [3, 1, 2, 5, 2]     [0.5 0.2 0.3 0.7 0.3]    0.6      2.0      0.5
极为        3           [0, 0, 0, 0, 0]     [0.0 0.0 0.0 0.0 0.0]    0.0      2.0      0.5
尤为        3           [0, 1, 0, 0, 0]     [0.0 0.2 0.0 0.0 0.0]    0.1      2.0      0.5

说明: 密度=每万汉字出现次数; 建议阈值=P90x1.3(下限2.0); 现值等效=现绝对阈值/6(按6万字论文折算)
