phrase_id	slot	phrase	paper_count	usage_note	evidence	prior_row	top_papers	status
P001	abstract	This study introduces	7	IEEE 摘要自称，点名方法	distilled		6MCGWL6X,ECEIRZKL,ESRTANVE,P46RA6G8,VNFDCIHS	core
P002	abstract	we propose an optimization strategy that	1	摘要中提出策略	distilled		ZVIVPYR4	candidate
P003	introduction	This study aims to address these challenges by introducing	1	引言收束到本文方法	distilled		ZVIVPYR4	candidate
P004	introduction	The main contributions of this article are as follows.	19	贡献列表引导句	distilled		2YFQJ43K,34NGSQUS,7YK5XZEY,B97B65M3,CU3VT5NE	core
P005	introduction	The rest of this article is organized as follows.	65	节序路标	distilled		2CTUAEE7,2YFQJ43K,34NGSQUS,3E6X63K8,54KSYHLT	core
P006	conclusion	In this research, we have successfully introduced	1	结论收回方法	distilled		ZVIVPYR4	candidate
P007	abstract	To address these limitations, we propose	5	摘要缺口后点名方法	distilled		J5UBKSPK,J9NMMX6N,P46RA6G8,T5IL4B4M,W7C6QDV7	core
P022	abstract	To address this limitation, we propose	1	摘要缺口后点名方法	distilled		5HNMW4GE	candidate
P023	conclusion	This article proposes	68	结论用 this article 点名方法	distilled		2W33JPHZ,3TAA7MS7,54KSYHLT,5HNMW4GE,75CLNG4H	core
P024	conclusion	Nevertheless, some limitations remain.	1	结论转局限	distilled		5HNMW4GE	candidate
P008	introduction	The main contributions can be summarized as follows.	4	贡献列表引导句变体	distilled		2Q5GWEE7,9QEFAFXT,P46RA6G8,RV9HXXFB	core
P009	conclusion	In this article, we proposed	4	结论用 this article 收回方法	distilled		NDCB9PSS,NXND566X,P46RA6G8,WNCMQEGA	core
P010	method	we propose a unified	1	方法节提出框架	distilled		P46RA6G8	candidate
P011	abstract	is developed in this article	5	摘要用 this article 点名方法	distilled		2CTUAEE7,2YFQJ43K,IKFPMCK4,MBWKHJQP,UTR4ASSW	core
P012	conclusion	In this article, we aimed to address	1	结论用 this article 收回问题	distilled		2YFQJ43K	candidate
P013	abstract	this article proposes	68	摘要用 this article 提出框架	distilled		2W33JPHZ,3TAA7MS7,54KSYHLT,5HNMW4GE,75CLNG4H	core
P014	introduction	The primary contributions of this work are presented as follows.	1	贡献列表引导句变体	distilled		KUMVDDYB	candidate
P015	conclusion	This article has presented	1	结论收回框架	distilled		KUMVDDYB	candidate
P016	conclusion	Future work will investigate	3	结论后续工作	distilled		5HNMW4GE,KUMVDDYB,P46RA6G8	core
P017	abstract	In this article, we present	1	摘要用 this article 点名方法	distilled		9BBQ2XLM	candidate
P018	introduction	To address these challenges, we propose	10	引言缺口后提出方法	distilled		9BBQ2XLM,9FMSKHGP,9WTUALLC,DDXY3JAU,ITWZMUUG	core
P019	introduction	Our contributions in this work are summarized as follows.	1	贡献列表引导句变体	distilled		9BBQ2XLM	candidate
P020	introduction	The key insights and contributions of this article are summarized as follows.	1	贡献列表引导句变体	distilled		SR9LIYM9	candidate
P021	conclusion	In future work	14	结论后续工作引导	distilled		9FMSKHGP,FCBGQKZW,FJAEEZSN,KSDD7S74,NH4KCYZ9	core
