section	pivot_word	template	occurrences	paper_count	top_papers	exemplar_quotes
abstract	however	X; however, Y.	1	1	ZVIVPYR4	The advent of deep learning offers innovative techniques for precise modeling and control; however, deep neural architectures have limited application in control problems.
introduction	despite	Despite X, Y remains ...	4	4	ZVIVPYR4,2YFQJ43K,KUMVDDYB,9BBQ2XLM	Despite these advancements, integrating DL with traditional control frameworks, such as MPC, remains an emerging field with significant potential for innovation. | Despite the above accomplishments of the Transformers in soft sensor applications, the vast majority of these Transformers are global models, failing to account for multiple working conditions that widely exist in industrial processes. | Despite these significant advances, current deep-learning-based soft sensors still face persistent limitations that hinder their full potential in dynamic industrial environments. | Despite effective deployment in MTS forecasting, general-purpose pretrained LLMs struggle to comprehensively capture domain-specific temporal patterns.
experiments	however	However, Y.	2	2	ZVIVPYR4,KUMVDDYB	However, their performance degrades somehow in the presence of noise, especially for PID and NMPC. | However, this enhanced focus on quality prediction introduces a clear tradeoff.
conclusion	although	Although X, Y.	2	2	ZVIVPYR4,2YFQJ43K	Although our method has exhibited commendable performance, it is sensitive to parameter settings. | It is worth mentioning that, although the CGMM adopted the Gaussian distribution as the base density function to model multimodal distributions of the PVs, it can be extended to accommodate more complex non-Gaussian distributions by simple and straightforward extensions.
conclusion	therefore	Therefore, future research will ...	1	1	ZVIVPYR4	Therefore, future research will focus on developing adaptive algorithms that can dynamically tune MPC parameters based on process feedback.
abstract	although	Although X, Y.	1	1	P46RA6G8	Although some recent methods consider time delays, their treatment of lags remains coarse and limited, and cannot adequately capture heterogeneous cross variable delay patterns in industrial time series.
abstract	to address	To address these limitations, we propose Y.	1	1	P46RA6G8	To address these limitations, we propose spatio-temporal causal learning with delay annotation (STCLD), which introduces a spatio-temporal delay attention (STDA) module to explicitly learn delay annotated spatio temporal causal graphs for soft sensing.
abstract	by contrast	X, by contrast, Y.	1	1	P46RA6G8	Causal modeling, by contrast, offers stronger interpretability by revealing directional and temporal influences, thereby improving both reliability and understanding.
related_work	yet	X, yet Y.	1	1	P46RA6G8	These approaches integrate causal knowledge into training and inference, yet most omit explicit lag annotations, which reduces their engineering utility.
abstract	however	However, Y.	3	3	2YFQJ43K,KUMVDDYB,9BBQ2XLM	However, the conventional Transformer-based soft sensors are developed in a global learning framework, suffering from performance degradation in processes with multiple working conditions. | However, it is significantly constrained by the asynchronous sampling between high-frequency process data and delayed laboratory quality measurements. | However, these methods often overlook the inherent nonstationarity and domain-specific nature of MTS, as well as the MTS-text modality representation gap, thus limiting the full potential of LLMs in MTS forecasting.
abstract	to address	To address this limitation, Y.	1	1	2YFQJ43K	To address this limitation, a conditional Gaussian mixture model (CGMM)-guided Transformer is developed in this article.
abstract	to address	To address this challenge, this article proposes Y.	1	1	KUMVDDYB	To address this challenge, this article proposes a joint modeling framework that collaboratively optimizes a multiscale attention Kolmogorov-Arnold network (MSAKAN) soft sensor and a MambaMoE time-series forecasting model.
conclusion	despite	Despite X, Y.	1	1	KUMVDDYB	Despite these achievements, we observe a characteristic tradeoff of MTL: the specialization required for accurate quality prediction induces a slight degradation in the generalized forecasting performance for raw process variables.
introduction	to address	To address these challenges, we propose Y.	1	1	9BBQ2XLM	To address these challenges, we propose a novel multiscale model that adversarially aligns retrieval-augmented LLMs for nonstationary MTS forecasting (A2RA-NSMTSllm).
abstract	to address	To address these challenges, this article proposes Y.	1	1	SR9LIYM9	To address these challenges, this article proposes a transformation-aware diffusion model (TA-DM) that integrates transformed-domain supervision for data-augmented soft sensing.
introduction	however	However, Y.	3	3	P46RA6G8,SR9LIYM9,5HNMW4GE	However, many critical variables are difficult to measure directly due to high costs, limited sensor lifespan, or harsh environments. | However, these quality variables are often difficult to measure directly, typically requiring expensive measuring instruments or time-consuming manual analyzes[1]. | However, due to harsh production environments and hardware limitations, online real-time detection of these variables remains challenging, potentially compromising production efficiency and even normal process operations.
related_work	despite	Despite X, Y.	1	1	SR9LIYM9	Despite their effectiveness, these methods are mostly confined to the original time domain and do not exploit information available in other representations.
conclusion	future	In future work, Y.	1	1	SR9LIYM9	In future work, TA-DM can be further enhanced and extended in several promising directions.
abstract	to address	To address this limitation, we propose Y.	1	1	5HNMW4GE	To address this limitation, we propose a novel temporal autoencoder (TAE).
introduction	although	Although X, Y.	2	2	SR9LIYM9,5HNMW4GE	Although a few studies have begun to explore transformation-aware mechanisms [20], [21], [22], [23], [24], [25], these efforts are often task-specific, restricted to the frequency domain, or applied outside of time-series contexts. | Although these AEs have been successfully developed as soft sensors, they still have some limitations.
introduction	by contrast	By contrast, Y.	1	1	5HNMW4GE	By contrast, the temporal autoencoder (TAE) employs sliding windows together with triplet temporal-shape loss to explicitly model curve shape similarity without any label-based graph.
introduction	therefore	Therefore, exploring X is crucial ...	3	3	ZVIVPYR4,2YFQJ43K,5HNMW4GE	Therefore, exploring efficient methods for controlling nonlinear and large time-delay systems is crucial for both theoretical advancement and practical industrial applications. | Therefore, developing a Transformer that can adapt to various working conditions is extremely urgent for soft sensors, which involves a preceding task of working condition identification. | Therefore, trend and seasonal information in process data are particularly crucial for regression prediction of quality variables.
conclusion	nevertheless	Nevertheless, Y.	1	1	5HNMW4GE	Nevertheless, some limitations remain.
related_work	however	However, Y.	1	1	9BBQ2XLM	However, the above-mentiond studies only consider a static scale for normalization and denormalization and are unable to comprehensively model the intricate distribution dynamics spanning various scales.
